TimeStamp,Reference,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta Err.,PID Output
18.32,0.001526,0,-0.184239,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.33,0.001526,0,-0.207269,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.34,0.001526,0,-0.201511,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.35,0.001526,0,-0.166967,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.36,0.001526,0,-0.201511,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.37,0.001526,0,-0.189996,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.38,0.001526,0,-0.201511,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.39,0.001526,0,-0.201511,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.4,0.001526,0,-0.201511,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.41,0.001526,0,-0.195754,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.42,0.001526,0,-0.207269,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.43,0.001526,0,-0.201511,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.44,0.001526,0,-0.207269,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.45,0.001526,0,-0.201511,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.46,0.001526,0,-0.207269,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.47,0.001526,0,-0.207269,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.48,0.001526,0,-0.22742,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.49,0.001526,0,-0.184239,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.5,0.001526,0,-0.207269,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.51,0.001526,0,-0.146815,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.52,0.001526,0,-0.201511,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.53,0.001526,0,-0.184239,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.54,0.001526,0,-0.207269,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
18.55,0.001526,0,-0.184239,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
