TimeStamp,Reference,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta Err.,PID Output
391.05,0.001526,0,-0.201511,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.06,0.001526,0,-0.221662,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.07,0.001526,0,-0.184239,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.08,0.001526,0,-0.221662,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.09,0.001526,0,-0.195754,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.1,0.001526,0,-0.195754,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.11,0.001526,0,-0.221662,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.12,0.001526,0,-0.195754,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.13,0.001526,0,-0.166967,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.14,0.001526,0,-0.195754,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.15,0.001526,0,-0.201511,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.16,0.001526,0,-0.221662,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.17,0.001526,0,-0.213026,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.18,0.001526,0,-0.184239,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.19,0.001526,0,-0.201511,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.2,0.001526,0,-0.221662,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.21,0.001526,0,-0.201511,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.22,0.001526,0,-0.201511,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.23,0.001526,0,-0.201511,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.24,0.001526,0,-0.221662,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
391.25,0.001526,0,-0.221662,0,-0.816358,-1.634241,0.001526,0.001526,-1.634241
