TimeStamp,Reference,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta Err.,PID Output
1.42,30.000763,11.125,3.347967,16.719284,18.90135,18.90135,0.001526,0.001526,18.90135
1.43,30.000763,11.25,3.278877,16.638928,18.770123,18.770123,0.001526,0.001526,18.770123
1.44,30.000763,11.25,3.163728,16.58477,18.770123,18.770123,0.001526,0.001526,18.770123
1.45,30.000763,11.25,3.186758,16.622919,18.770123,18.770123,0.001526,0.001526,18.770123
1.46,30.000763,11.25,3.324937,16.633478,18.770123,18.770123,0.001526,0.001526,18.770123
1.47,30.000763,11.25,3.301907,16.622919,18.770123,18.770123,0.001526,0.001526,18.770123
1.48,30.000763,11.375,3.255847,16.478372,18.635843,18.635843,0.001526,0.001526,18.635843
1.49,30.000763,11.25,3.117668,16.617469,18.770123,18.770123,0.001526,0.001526,18.770123
1.5,30.000763,11.25,3.232818,16.633478,18.770123,18.770123,0.001526,0.001526,18.770123
1.51,30.000763,11.25,3.370997,16.633478,18.770123,18.770123,0.001526,0.001526,18.770123
1.52,30.000763,11.25,3.324937,16.622919,18.770123,18.770123,0.001526,0.001526,18.770123
1.53,30.000763,11.25,3.324937,16.633478,18.770123,18.770123,0.001526,0.001526,18.770123
1.54,30.000763,11.25,3.255847,16.628029,18.770123,18.770123,0.001526,0.001526,18.770123
1.55,30.000763,11.25,3.370997,16.622919,18.770123,18.770123,0.001526,0.001526,18.770123
1.56,30.000763,11.25,3.394027,16.633478,18.770123,18.770123,0.001526,0.001526,18.770123
1.57,30.000763,11.25,3.255847,16.633478,18.770123,18.770123,0.001526,0.001526,18.770123
1.58,30.000763,11.125,3.255847,16.702839,18.90135,18.90135,0.001526,0.001526,18.90135
1.59,30.000763,11.25,3.463116,16.617469,18.770123,18.770123,0.001526,0.001526,18.770123
1.6,30.000763,11.25,3.324937,16.628029,18.770123,18.770123,0.001526,0.001526,18.770123
1.61,30.000763,11.25,3.255847,16.612019,18.770123,18.770123,0.001526,0.001526,18.770123
1.62,30.000763,11.25,3.163728,16.60657,18.770123,18.770123,0.001526,0.001526,18.770123
1.63,30.000763,11.25,3.209788,16.628029,18.770123,18.770123,0.001526,0.001526,18.770123
1.64,30.000763,11.25,3.301907,16.617469,18.770123,18.770123,0.001526,0.001526,18.770123
1.65,30.000763,11.375,3.209788,16.48884,18.635843,18.635843,0.001526,0.001526,18.635843
1.66,30.000763,11.375,3.117668,16.48884,18.635843,18.635843,0.001526,0.001526,18.635843
1.67,30.000763,11.25,3.209788,16.638928,18.770123,18.770123,0.001526,0.001526,18.770123
1.68,30.000763,11.25,3.301907,16.617469,18.770123,18.770123,0.001526,0.001526,18.770123
1.69,30.000763,11.25,3.301907,16.622919,18.770123,18.770123,0.001526,0.001526,18.770123
1.7,30.000763,11.25,3.209788,16.622919,18.770123,18.770123,0.001526,0.001526,18.770123
1.71,30.000763,11.25,3.186758,16.628029,18.770123,18.770123,0.001526,0.001526,18.770123
1.72,30.000763,11.25,3.324937,16.628029,18.770123,18.770123,0.001526,0.001526,18.770123
1.72,30.000763,11.25,3.324937,16.628029,18.770123,18.770123,0.001526,0.001526,18.770123
1.73,30.000763,11.25,3.301907,16.622919,18.770123,18.770123,0.001526,0.001526,18.770123
1.74,30.000763,11.25,3.301907,16.612019,18.770123,18.770123,0.001526,0.001526,18.770123
1.75,30.000763,11.25,3.278877,16.628029,18.770123,18.770123,0.001526,0.001526,18.770123
1.76,30.000763,11.25,3.370997,16.628029,18.770123,18.770123,0.001526,0.001526,18.770123
1.77,30.000763,11.125,3.440086,16.708321,18.90135,18.90135,0.001526,0.001526,18.90135
1.78,30.000763,11.25,3.324937,16.622919,18.770123,18.770123,0.001526,0.001526,18.770123
1.79,30.000763,11.25,3.255847,16.617469,18.770123,18.770123,0.001526,0.001526,18.770123
1.8,30.000763,11.25,3.324937,16.612019,18.770123,18.770123,0.001526,0.001526,18.770123
1.81,30.000763,11.25,3.324937,16.617469,18.770123,18.770123,0.001526,0.001526,18.770123
1.82,30.000763,11.25,3.255847,16.622919,18.770123,18.770123,0.001526,0.001526,18.770123
1.83,30.000763,11.25,3.255847,16.622919,18.770123,18.770123,0.001526,0.001526,18.770123
1.84,30.000763,11.125,3.209788,16.719284,18.90135,18.90135,0.001526,0.001526,18.90135
1.85,30.000763,11.125,3.509176,16.713802,18.90135,18.90135,0.001526,0.001526,18.90135
1.86,30.000763,11.125,3.440086,16.729904,18.90135,18.90135,0.001526,0.001526,18.90135
1.87,30.000763,11.125,3.417056,16.729904,18.90135,18.90135,0.001526,0.001526,18.90135
1.88,30.000763,11.25,3.347967,16.628029,18.770123,18.770123,0.001526,0.001526,18.770123
1.88,30.000763,11.25,3.347967,16.628029,18.770123,18.770123,0.001526,0.001526,18.770123
1.89,30.000763,11.25,3.232818,16.622919,18.770123,18.770123,0.001526,0.001526,18.770123
1.9,30.000763,11.25,3.255847,16.622919,18.770123,18.770123,0.001526,0.001526,18.770123
1.91,30.000763,11.25,3.232818,16.622919,18.770123,18.770123,0.001526,0.001526,18.770123
1.92,30.000763,11.25,3.232818,16.628029,18.770123,18.770123,0.001526,0.001526,18.770123
1.93,30.000763,11.125,3.347967,16.713802,18.90135,18.90135,0.001526,0.001526,18.90135
1.94,30.000763,11.125,3.440086,16.719284,18.90135,18.90135,0.001526,0.001526,18.90135
1.95,30.000763,11.25,3.440086,16.628029,18.770123,18.770123,0.001526,0.001526,18.770123
1.96,30.000763,11.25,3.209788,16.622919,18.770123,18.770123,0.001526,0.001526,18.770123
1.97,30.000763,11.25,3.209788,16.633478,18.770123,18.770123,0.001526,0.001526,18.770123
1.98,30.000763,11.25,3.347967,16.628029,18.770123,18.770123,0.001526,0.001526,18.770123
1.99,30.000763,11.375,3.209788,16.478372,18.635843,18.635843,0.001526,0.001526,18.635843
2,30.000763,11.25,3.048579,16.633478,18.770123,18.770123,0.001526,0.001526,18.770123
2.01,9.999237,11.25,3.232818,-1.108535,-1.231403,-1.231403,0.001526,0.001526,-1.231403
2.02,9.999237,11,-5.25081,-0.916047,-0.999466,-0.999466,0.001526,0.001526,-0.999466
2.03,9.999237,10.25,-4.352645,-0.240986,-0.233463,-0.233463,0.001526,0.001526,-0.233463
2.04,9.999237,9.75,-2.898884,0.192729,0.267033,0.267033,0.001526,0.001526,0.267033
2.04,9.999237,9.75,-2.898884,0.192729,0.267033,0.267033,0.001526,0.001526,0.267033
2.05,9.999237,9.125,-2.760705,0.771913,0.901808,0.901808,0.001526,0.001526,0.901808
2.06,9.999237,8.625,-2.415257,1.204164,1.402304,1.402304,0.001526,0.001526,1.402304
2.07,9.999237,8.125,-2.346168,1.633938,1.899748,1.899748,0.001526,0.001526,1.899748
