TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta Err.,PID Output
15.73,79.998474,124.4,0,0.68226,1.245286,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.74,79.998474,124.4,0,0.708168,1.245286,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.75,79.998474,124.4,0,0.72832,1.244101,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.76,79.998474,124.4,0,0.68226,1.257059,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.77,79.998474,124.4,0,0.708168,1.245286,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.78,79.998474,124.4,0,0.722562,1.245286,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.79,79.998474,124.4,0,0.68226,1.245286,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.8,79.998474,124.4,0,0.68226,1.245286,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.81,79.998474,124.4,0,0.708168,1.244891,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.82,79.998474,124.4,0,0.68226,1.245681,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.83,79.998474,124.4,0,0.708168,1.244496,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.84,79.998474,124.4,0,0.68226,1.245286,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.85,79.998474,124.4,0,0.72832,1.245681,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.86,79.998474,124.4,0,0.708168,1.245681,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.87,79.998474,124.4,0,0.708168,1.245286,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.88,79.998474,124.4,0,0.68226,1.244496,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.89,79.998474,124.4,0,0.708168,1.246075,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.9,79.998474,124.4,0,0.72832,1.245681,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.91,79.998474,124.4,0,0.708168,1.245681,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.92,79.998474,124.4,0,0.708168,1.244496,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.93,79.998474,124.4,0,0.68226,1.246446,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.94,79.998474,124.4,0,0.68226,1.246075,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.95,79.998474,124.4,0,0.757107,1.244101,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.96,79.998474,124.4,0,0.68226,1.244891,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.97,79.998474,124.4,0,0.72832,1.244891,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.98,79.998474,124.4,0,0.708168,1.245286,-44.399176,-6.211948,7.591363,0.001526,1.37789
15.99,79.998474,124.4,0,0.708168,1.246075,-44.399176,-6.211948,7.591363,0.001526,1.37789
16,79.998474,124.4,0,0.72832,1.245286,-44.399176,-6.211948,7.591363,0.001526,1.37789
16.01,79.998474,124.4,0,0.702411,1.245681,-44.399176,-6.211948,7.591363,0.001526,1.37789
16.02,79.998474,124.4,0,0.688017,1.245681,-44.399176,-6.211948,7.591363,0.001526,1.37789
16.03,79.998474,124.4,0,0.72832,1.245286,-44.399176,-6.211948,7.591363,0.001526,1.37789
16.04,79.998474,124.4,0,0.68226,1.245286,-44.399176,-6.211948,7.591363,0.001526,1.37789
16.05,79.998474,124.4,0,0.72832,1.245286,-44.399176,-6.211948,7.591363,0.001526,1.37789
16.06,79.998474,124.4,0,0.739834,1.234672,-44.399176,-6.211948,7.591363,0.001526,1.37789
16.07,79.998474,124.4,0,0.68226,1.245681,-44.399176,-6.211948,7.591363,0.001526,1.37789
16.08,79.998474,124.4,0,0.72832,1.246075,-44.399176,-6.211948,7.591363,0.001526,1.37789
16.09,79.998474,124.4,0,0.68226,1.245681,-44.399176,-6.211948,7.591363,0.001526,1.37789
16.1,79.998474,124.4,0,0.68226,1.245286,-44.399176,-6.211948,7.591363,0.001526,1.37789
16.11,79.998474,124.4,0,0.748471,1.244891,-44.399176,-6.211948,7.591363,0.001526,1.37789
16.12,79.998474,124.4,0,0.68226,1.245681,-44.399176,-6.211948,7.591363,0.001526,1.37789
16.13,79.998474,124.4,0,0.72832,1.245681,-44.399176,-6.211948,7.591363,0.001526,1.37789
16.14,79.998474,124.4,0,0.708168,1.244891,-44.399176,-6.211948,7.591363,0.001526,1.37789
16.15,79.998474,124.4,0,0.708168,1.245286,-44.399176,-6.211948,7.591363,0.001526,1.37789
