TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta PV,PID Output
223.23,0.001526,0,0,0.028787,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.24,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.25,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.26,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.27,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.28,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.29,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.3,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.31,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.32,0.001526,0,0,0.048938,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.33,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.34,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.35,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.36,0.001526,0,0,0.025909,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.37,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.38,0.001526,0,0,-0.063332,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.39,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.4,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.41,0.001526,0,0,-0.086362,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.42,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.43,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.44,0.001526,0,0,-0.063332,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.45,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.46,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.47,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.48,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.49,0.001526,0,0,0.028787,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.5,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.51,0.001526,0,0,-0.063332,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.52,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.52,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.53,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.54,0.001526,0,0,0.005757,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.55,0.001526,0,0,-0.132422,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.56,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.57,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.58,0.001526,0,0,0.141058,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.59,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.6,0.001526,0,0,-0.063332,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.61,0.001526,0,0,-0.063332,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.62,0.001526,0,0,0.025909,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.63,0.001526,0,0,0.051817,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.64,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.65,0.001526,0,0,0.143937,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.66,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
223.67,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
