TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta Err.,PID Output
15.19,15.001144,-8.98,-4.125,93.602015,63.495797,23.979553,71.935607,0.001526,0.001526,71.935607
15.2,15.001144,-7.78,5,89.787693,60.150738,22.780194,68.33753,0.001526,0.001526,68.33753
15.21,15.001144,-3.78,13.625,88.299388,49.57531,18.779278,56.334783,0.001526,0.001526,56.334783
15.22,15.001144,2.7,21.25,56.394386,32.507665,12.300298,36.897841,0.001526,0.001526,36.897841
15.23,15.001144,10.64,25.25,14.304426,11.548605,4.359503,13.075456,0.001526,0.001526,13.075456
15.24,15.001144,18.86,25.5,-2.072688,-10.32772,-3.859007,-11.580072,0.001526,0.001526,-11.580072
15.25,15.001144,26.42,22.625,-37.685498,-30.412423,-11.421378,-34.267185,0.001526,0.001526,-34.267185
15.26,15.001144,32.34,16.375,-72.725441,-46.02346,-17.338827,-52.019532,0.001526,0.001526,-52.019532
15.27,15.001144,35.78,8.375,-83.382512,-55.151286,-20.781262,-62.346838,0.001526,0.001526,-62.346838
15.28,15.001144,36.36,-0.25,-88.388629,-56.688605,-21.361105,-64.086366,0.001526,0.001526,-64.086366
15.29,15.001144,34.14,-8.875,-91.224181,-50.729446,-19.139391,-57.421225,0.001526,0.001526,-57.421225
15.3,15.001144,29.3,-16.625,-69.625045,-37.940061,-14.299229,-42.90074,0.001526,0.001526,-42.90074
15.31,15.001144,22.6,-21.625,-32.195754,-20.229963,-7.600519,-22.804608,0.001526,0.001526,-22.804608
15.32,15.001144,15.18,-23,-2.302987,-0.530517,-0.181582,-0.547799,0.001526,0.001526,-0.547799
15.33,15.001144,7.94,-21.5,13.79489,18.75485,7.060349,21.177996,0.001526,0.001526,21.177996
15.34,15.001144,1.68,-17.375,49.206189,35.310275,13.3196,39.955749,0.001526,0.001526,39.955749
15.35,15.001144,-2.6,-10.625,75.270241,46.541583,17.59823,52.791638,0.001526,0.001526,52.791638
15.36,15.001144,-4.26,-2.75,87.801367,50.819478,19.258412,57.772183,0.001526,0.001526,57.772183
15.37,15.001144,-3.04,5.625,88.112271,47.816702,18.040742,54.119173,0.001526,0.001526,54.119173
15.38,15.001144,0.8,13.125,65.586182,37.493336,14.19852,42.592508,0.001526,0.001526,42.592508
15.39,15.001144,6.48,18,35.733717,22.579359,8.519112,25.554284,0.001526,0.001526,25.554284
15.4,15.001144,13,19.875,3.877654,5.303428,2.000458,5.998322,0.001526,0.001526,5.998322
15.41,15.001144,19.5,19,-2.924793,-12.005032,-4.499886,-13.502708,0.001526,0.001526,-13.502708
15.42,15.001144,25.38,16.375,-32.498021,-27.593211,-10.380713,-31.14519,0.001526,0.001526,-31.14519
15.43,15.001144,29.88,11.625,-58.99964,-39.605912,-14.879072,-44.640269,0.001526,0.001526,-44.640269
15.44,15.001144,32.18,4.75,-76.323858,-45.635126,-17.180133,-51.54345,0.001526,0.001526,-51.54345
15.45,15.001144,31.96,-2.5,-79.251529,-45.058075,-16.960403,-50.88426,0.001526,0.001526,-50.88426
15.46,15.001144,29.34,-9.25,-67.877654,-38.14793,-14.338903,-43.01976,0.001526,0.001526,-43.01976
15.47,15.001144,24.8,-14.25,-44.882332,-26.072038,-9.80087,-29.405661,0.001526,0.001526,-29.405661
15.48,15.001144,19.14,-16.875,-13.650954,-11.037155,-4.139773,-12.42237,0.001526,0.001526,-12.42237
15.48,15.001144,19.14,-16.875,-13.650954,-11.037155,-4.139773,-12.42237,0.001526,0.001526,-12.42237
15.49,15.001144,13.2,-17.25,0.351205,4.768491,1.799039,5.394064,0.001526,0.001526,5.394064
15.5,15.001144,7.6,-15.75,16.90968,19.651964,7.3991,22.194247,0.001526,0.001526,22.194247
15.51,15.001144,2.96,-12.25,45.374595,31.919673,12.040894,36.119631,0.001526,0.001526,36.119631
15.52,15.001144,0.04,-6.75,65.580425,39.56882,14.958419,44.872206,0.001526,0.001526,44.872206
15.53,15.001144,-0.6,0,68.582944,41.241905,15.599298,46.794842,0.001526,0.001526,46.794842
15.54,15.001144,1.02,6.25,62.586542,36.955263,13.97879,41.933318,0.001526,0.001526,41.933318
