TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta PV,PID Output
27.37,0.001526,0,0,-0.014394,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.38,0.001526,0,0,-0.037424,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.39,0.001526,0,0,0.008636,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.4,0.001526,0,0,-0.037424,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.41,0.001526,0,0,-0.014394,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.42,0.001526,0,0,0.008636,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.43,0.001526,0,0,0.008636,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.44,0.001526,0,0,-0.037424,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.45,0.001526,0,0,-0.037424,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.46,0.001526,0,0,-0.014394,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.47,0.001526,0,0,0.054696,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.48,0.001526,0,0,-0.060453,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.48,0.001526,0,0,-0.060453,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.49,0.001526,0,0,-0.014394,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.5,0.001526,0,0,0.031666,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.51,0.001526,0,0,-0.014394,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.52,0.001526,0,0,-0.014394,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.53,0.001526,0,0,-0.014394,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.54,0.001526,0,0,-0.060453,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.55,0.001526,0,0,-0.014394,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.56,0.001526,0,0,0.031666,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.57,0.001526,0,0,-0.014394,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.58,0.001526,0,0,-0.037424,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.59,0.001526,0,0,-0.037424,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.6,0.001526,0,0,0.008636,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.61,0.001526,0,0,0.031666,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.62,0.001526,0,0,0.008636,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.63,0.001526,0,0,-0.014394,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.64,0.001526,0,0,0.031666,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.64,0.001526,0,0,0.031666,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.65,0.001526,0,0,0.008636,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.66,0.001526,0,0,-0.060453,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.67,0.001526,0,0,-0.037424,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.68,0.001526,0,0,-0.014394,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.69,0.001526,0,0,-0.037424,0,0.001526,0.001526,0.001526,0.001526,0.001526
27.7,0.001526,0,0,-0.014394,0,0.001526,0.001526,0.001526,0.001526,0.001526
