TimeStamp	Reference	Position	Speed	Current	Voltage	Error	Kp x Error	Error Sum / Ti	Td x Delta PV	PID Output		TimeStamp	Position
10.13	0.001526	2.68	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.13	2.68
10.14	0.001526	2.68	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.14	2.68
10.15	0.001526	2.68	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.15	2.68
10.15	0.001526	2.68	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.15	2.68
10.16	0.001526	2.68	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.16	2.68
10.17	0.001526	2.68	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.17	2.68
10.18	0.001526	2.68	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.18	2.68
10.19	0.001526	2.68	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.19	2.68
10.2	0.001526	2.68	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.2	2.68
10.21	0.001526	2.68	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.21	2.68
10.22	0.001526	2.68	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.22	2.68
10.23	0.001526	2.68	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.23	2.68
10.24	0.001526	2.68	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.24	2.68
10.25	0.001526	2.68	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.25	2.68
10.26	0.001526	2.68	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.26	2.68
10.27	0.001526	2.68	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.27	2.68
10.28	0.001526	2.68	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.28	2.68
10.29	0.001526	2.68	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.29	2.68
10.3	0.001526	2.68	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.3	2.68
10.31	0.001526	2.68	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.31	2.68
10.31	0.001526	2.68	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.31	2.68
10.32	0.001526	2.68	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.32	2.68
10.33	0.001526	2.68	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		10.33	2.68
