TimeStamp	Reference	Position	Speed	Current	Voltage	Error	Kp x Error	Error Sum / Ti	Td x Delta Err.	PID Output
41.22	3.00145	2.72	0	0.81756	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.23	3.00145	2.72	0	0.79453	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.24	3.00145	2.72	0	0.748471	1.687454	0.27924	1.945525	0.001526	0.001526	1.945525
41.25	3.00145	2.72	0	0.748471	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.26	3.00145	2.72	0	0.81756	1.686383	0.27924	1.945525	0.001526	0.001526	1.945525
41.27	3.00145	2.72	0	0.748471	1.692396	0.27924	1.945525	0.001526	0.001526	1.945525
41.28	3.00145	2.72	0	0.748471	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.29	3.00145	2.72	0	0.79453	1.684724	0.27924	1.945525	0.001526	0.001526	1.945525
41.3	3.00145	2.72	0	0.79453	1.687454	0.27924	1.945525	0.001526	0.001526	1.945525
41.31	3.00145	2.72	0	0.771501	1.684172	0.27924	1.945525	0.001526	0.001526	1.945525
41.32	3.00145	2.72	0	0.81756	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.33	3.00145	2.72	0	0.79453	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.34	3.00145	2.72	0	0.79453	1.687454	0.27924	1.945525	0.001526	0.001526	1.945525
41.35	3.00145	2.72	0	0.79453	1.686383	0.27924	1.945525	0.001526	0.001526	1.945525
41.36	3.00145	2.72	0	0.79453	1.685277	0.27924	1.945525	0.001526	0.001526	1.945525
41.37	3.00145	2.72	0	0.748471	1.690219	0.27924	1.945525	0.001526	0.001526	1.945525
41.38	3.00145	2.72	0	0.771501	1.687454	0.27924	1.945525	0.001526	0.001526	1.945525
41.39	3.00145	2.72	0	0.725441	1.686901	0.27924	1.945525	0.001526	0.001526	1.945525
41.4	3.00145	2.72	0	0.79453	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.41	3.00145	2.72	0	0.81756	1.684724	0.27924	1.945525	0.001526	0.001526	1.945525
41.42	3.00145	2.72	0	0.6362	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.43	3.00145	2.72	0	0.81756	1.686901	0.27924	1.945525	0.001526	0.001526	1.945525
41.44	3.00145	2.72	0	0.79453	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.45	3.00145	2.72	0	0.702411	1.686383	0.27924	1.945525	0.001526	0.001526	1.945525
41.46	3.00145	2.72	0	0.725441	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.47	3.00145	2.72	0	0.79453	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.48	3.00145	2.72	0	0.748471	1.683066	0.27924	1.945525	0.001526	0.001526	1.945525
41.49	3.00145	2.72	0	0.81756	1.684172	0.27924	1.945525	0.001526	0.001526	1.945525
41.5	3.00145	2.72	0	0.771501	1.688007	0.27924	1.945525	0.001526	0.001526	1.945525
41.51	3.00145	2.72	0	0.771501	1.687454	0.27924	1.945525	0.001526	0.001526	1.945525
41.52	3.00145	2.72	0	0.79453	1.686901	0.27924	1.945525	0.001526	0.001526	1.945525
41.53	3.00145	2.72	0	0.81756	1.685277	0.27924	1.945525	0.001526	0.001526	1.945525
41.53	3.00145	2.72	0	0.81756	1.685277	0.27924	1.945525	0.001526	0.001526	1.945525
41.54	3.00145	2.72	0	0.81756	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.55	3.00145	2.72	0	0.748471	1.686383	0.27924	1.945525	0.001526	0.001526	1.945525
41.56	3.00145	2.72	0	0.771501	1.685277	0.27924	1.945525	0.001526	0.001526	1.945525
41.57	3.00145	2.72	0	0.79453	1.684172	0.27924	1.945525	0.001526	0.001526	1.945525
41.58	3.00145	2.72	0	0.771501	1.685277	0.27924	1.945525	0.001526	0.001526	1.945525
41.59	3.00145	2.72	0	0.771501	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.6	3.00145	2.72	0	0.79453	1.68856	0.27924	1.945525	0.001526	0.001526	1.945525
41.61	3.00145	2.72	0	0.725441	1.685277	0.27924	1.945525	0.001526	0.001526	1.945525
41.62	3.00145	2.72	0	0.79453	1.686383	0.27924	1.945525	0.001526	0.001526	1.945525
41.63	3.00145	2.72	0	0.79453	1.686901	0.27924	1.945525	0.001526	0.001526	1.945525
41.64	3.00145	2.72	0	0.79453	1.686901	0.27924	1.945525	0.001526	0.001526	1.945525
41.65	3.00145	2.72	0	0.79453	1.687454	0.27924	1.945525	0.001526	0.001526	1.945525
41.66	3.00145	2.72	0	0.725441	1.686383	0.27924	1.945525	0.001526	0.001526	1.945525
41.67	3.00145	2.72	0	0.79453	1.686901	0.27924	1.945525	0.001526	0.001526	1.945525
41.68	3.00145	2.72	0	0.79453	1.685277	0.27924	1.945525	0.001526	0.001526	1.945525
41.69	3.00145	2.72	0	0.748471	1.685277	0.27924	1.945525	0.001526	0.001526	1.945525
41.69	3.00145	2.72	0	0.748471	1.685277	0.27924	1.945525	0.001526	0.001526	1.945525
41.7	3.00145	2.72	0	0.771501	1.685277	0.27924	1.945525	0.001526	0.001526	1.945525
41.71	3.00145	2.72	0	0.79453	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.72	3.00145	2.72	0	0.771501	1.684172	0.27924	1.945525	0.001526	0.001526	1.945525
41.73	3.00145	2.72	0	0.725441	1.686383	0.27924	1.945525	0.001526	0.001526	1.945525
41.74	3.00145	2.72	0	0.771501	1.686901	0.27924	1.945525	0.001526	0.001526	1.945525
41.75	3.00145	2.72	0	0.748471	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.76	3.00145	2.72	0	0.748471	1.685277	0.27924	1.945525	0.001526	0.001526	1.945525
41.77	3.00145	2.72	0	0.771501	1.686383	0.27924	1.945525	0.001526	0.001526	1.945525
41.78	3.00145	2.72	0	0.748471	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.79	3.00145	2.72	0	0.771501	1.683619	0.27924	1.945525	0.001526	0.001526	1.945525
41.8	3.00145	2.72	0	0.771501	1.685277	0.27924	1.945525	0.001526	0.001526	1.945525
41.81	3.00145	2.72	0	0.771501	1.686383	0.27924	1.945525	0.001526	0.001526	1.945525
41.82	3.00145	2.72	0	0.86362	1.686383	0.27924	1.945525	0.001526	0.001526	1.945525
41.83	3.00145	2.72	0	0.748471	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
41.84	3.00145	2.72	0	0.748471	1.684724	0.27924	1.945525	0.001526	0.001526	1.945525
41.85	3.00145	2.72	0	0.79453	1.684724	0.27924	1.945525	0.001526	0.001526	1.945525
41.85	3.00145	2.72	0	0.79453	1.684724	0.27924	1.945525	0.001526	0.001526	1.945525
41.86	3.00145	2.72	0	0.725441	1.685277	0.27924	1.945525	0.001526	0.001526	1.945525
41.87	3.00145	2.72	0	0.79453	1.68583	0.27924	1.945525	0.001526	0.001526	1.945525
