TimeStamp	Reference	Position	Speed	Current	Voltage	Error	Kp x Error	Error Sum / Ti	Td x Delta PV	PID Output		TimeStamp	Position	Reference
59.19	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.19	0	0.001526
59.2	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.2	0	0.001526
59.2	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.2	0	0.001526
59.21	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.21	0	0.001526
59.22	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.22	0	0.001526
59.23	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.23	0	0.001526
59.24	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.24	0	0.001526
59.25	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.25	0	0.001526
59.26	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.26	0	0.001526
59.27	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.27	0	0.001526
59.28	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.28	0	0.001526
59.29	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.29	0	0.001526
59.3	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.3	0	0.001526
59.31	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.31	0	0.001526
59.32	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.32	0	0.001526
59.33	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.33	0	0.001526
59.34	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.34	0	0.001526
59.35	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.35	0	0.001526
59.36	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.36	0	0.001526
59.36	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.36	0	0.001526
59.37	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.37	0	0.001526
59.38	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.38	0	0.001526
59.39	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.39	0	0.001526
59.4	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.4	0	0.001526
59.41	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.41	0	0.001526
59.42	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.42	0	0.001526
59.43	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.43	0	0.001526
59.44	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.44	0	0.001526
59.45	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.45	0	0.001526
59.46	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.46	0	0.001526
59.47	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.47	0	0.001526
59.48	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.48	0	0.001526
59.49	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.49	0	0.001526
59.5	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.5	0	0.001526
59.51	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.51	0	0.001526
59.52	0.001526	0	0	0.077726	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.52	0	0.001526
59.53	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.53	0	0.001526
59.54	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.54	0	0.001526
59.55	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.55	0	0.001526
59.56	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.56	0	0.001526
59.57	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.57	0	0.001526
