TimeStamp	Reference	Position	Speed	Current	Voltage	Error	Kp x Error	Error Sum / Ti	Td x Delta Err.	PID Output
6.95	0.001526	0	0	0.005757	0	0.001526	0.001526	0.001526	0.001526	0.001526
6.96	0.001526	0	0	0.005757	0	0.001526	0.001526	0.001526	0.001526	0.001526
6.97	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
6.98	0.001526	0	0	0.005757	0	0.001526	0.001526	0.001526	0.001526	0.001526
6.99	0.001526	0	0	-0.086362	0	0.001526	0.001526	0.001526	0.001526	0.001526
7	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.01	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.02	0.001526	0	0	0.005757	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.03	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.04	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.05	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.06	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.07	0.001526	0	0	0.005757	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.08	0.001526	0	0	0.005757	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.09	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.1	0.001526	0	0	0.005757	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.11	0.001526	0	0	0.005757	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.12	0.001526	0	0	-0.086362	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.13	0.001526	0	0	-0.086362	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.13	0.001526	0	0	-0.086362	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.14	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.15	0.001526	0	0	0.005757	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.16	0.001526	0	0	0.005757	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.17	0.001526	0	0	-0.060453	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.18	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.19	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.2	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.21	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.22	0.001526	0	0	-0.014394	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.23	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.24	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.25	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.26	0.001526	0	0	-0.063332	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.27	0.001526	0	0	0.005757	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.28	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.29	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.29	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.3	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.31	0.001526	0	0	0.028787	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.32	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.33	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.34	0.001526	0	0	0.005757	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.35	0.001526	0	0	0.028787	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.36	0.001526	0	0	0.005757	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.37	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.38	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.39	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.4	0.001526	0	0	0.074847	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.41	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.42	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.43	0.001526	0	0	0.028787	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.44	0.001526	0	0	-0.037424	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.45	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.45	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.46	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.47	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.48	0.001526	0	0	0.051817	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.49	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.5	0.001526	0	0	0.028787	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.51	0.001526	0	0	-0.086362	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.52	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.53	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.54	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.55	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.56	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.57	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.58	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.59	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.6	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.61	0.001526	0	0	-0.014394	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.62	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.63	0.001526	0	0	-0.017272	0	0.001526	0.001526	0.001526	0.001526	0.001526
7.64	0.001526	0	0	-0.040302	0	0.001526	0.001526	0.001526	0.001526	0.001526
