TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta PV,PID Output
378.71,0.001526,0,0,0.025909,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.72,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.73,0.001526,0,0,-0.063332,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.74,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.75,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.76,0.001526,0,0,0.005757,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.77,0.001526,0,0,0.025909,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.78,0.001526,0,0,0.005757,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.79,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.8,0.001526,0,0,0.005757,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.81,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.82,0.001526,0,0,0.028787,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.83,0.001526,0,0,0.028787,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.84,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.84,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.85,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.86,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.87,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.88,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.89,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.9,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.91,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.92,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.93,0.001526,0,0,0.028787,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.94,0.001526,0,0,0.028787,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.95,0.001526,0,0,0.005757,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.96,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.97,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.98,0.001526,0,0,0.048938,0,0.001526,0.001526,0.001526,0.001526,0.001526
378.99,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
379,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
379.01,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
379.02,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
379.03,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
379.04,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
379.05,0.001526,0,0,-0.063332,0,0.001526,0.001526,0.001526,0.001526,0.001526
379.06,0.001526,0,0,0.028787,0,0.001526,0.001526,0.001526,0.001526,0.001526
379.07,0.001526,0,0,0.028787,0,0.001526,0.001526,0.001526,0.001526,0.001526
379.08,0.001526,0,0,0.005757,0,0.001526,0.001526,0.001526,0.001526,0.001526
379.09,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
379.1,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
379.11,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
379.12,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
