TimeStamp,Reference,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta Err.,PID Output
2.13,9.999237,6,-0.72832,3.515007,3.99939,3.99939,0.001526,0.001526,3.99939
2.14,9.999237,5.75,-0.544081,3.758225,4.267948,4.267948,0.001526,0.001526,4.267948
2.15,9.999237,5.625,-0.267722,3.853326,4.402228,4.402228,0.001526,0.001526,4.402228
2.16,9.999237,5.375,-0.198633,4.095502,4.634165,4.634165,0.001526,0.001526,4.634165
2.16,9.999237,5.375,-0.198633,4.095502,4.634165,4.634165,0.001526,0.001526,4.634165
2.17,9.999237,5.125,0.054696,4.337747,4.899672,4.899672,0.001526,0.001526,4.899672
2.18,9.999237,5,0.284995,4.383159,5.000381,5.000381,0.001526,0.001526,5.000381
2.19,9.999237,4.75,0.377114,4.629963,5.26894,5.26894,0.001526,0.001526,5.26894
2.2,9.999237,4.5,0.538323,4.863229,5.500877,5.500877,0.001526,0.001526,5.500877
2.21,9.999237,4.5,0.768622,4.864824,5.500877,5.500877,0.001526,0.001526,5.500877
2.22,9.999237,4.125,0.814682,5.203696,5.900664,5.900664,0.001526,0.001526,5.900664
2.23,9.999237,4,1.09104,5.298324,6.001373,6.001373,0.001526,0.001526,6.001373
2.24,9.999237,3.875,1.06801,5.394657,6.135653,6.135653,0.001526,0.001526,6.135653
2.25,9.999237,3.75,1.183159,5.548126,6.26688,6.26688,0.001526,0.001526,6.26688
2.26,9.999237,3.75,1.301187,5.542676,6.26688,6.26688,0.001526,0.001526,6.26688
2.27,9.999237,3.5,1.393307,5.739225,6.501869,6.501869,0.001526,0.001526,6.501869
2.28,9.999237,3.375,1.321339,5.880056,6.633097,6.633097,0.001526,0.001526,6.633097
2.29,9.999237,3.25,1.505578,5.976451,6.767376,6.767376,0.001526,0.001526,6.767376
2.3,9.999237,3.25,1.669665,5.980368,6.767376,6.767376,0.001526,0.001526,6.767376
2.31,9.999237,3.125,1.646635,6.072845,6.901656,6.901656,0.001526,0.001526,6.901656
2.32,9.999237,3.125,1.692695,6.074836,6.901656,6.901656,0.001526,0.001526,6.901656
2.32,9.999237,3.125,1.692695,6.074836,6.901656,6.901656,0.001526,0.001526,6.901656
2.33,9.999237,2.875,1.830874,6.31797,7.133593,7.133593,0.001526,0.001526,7.133593
2.34,9.999237,2.875,1.784815,6.315901,7.133593,7.133593,0.001526,0.001526,7.133593
2.35,9.999237,2.625,1.922994,6.561262,7.402152,7.402152,0.001526,0.001526,7.402152
2.36,9.999237,2.625,2.015113,6.550655,7.402152,7.402152,0.001526,0.001526,7.402152
2.37,9.999237,2.5,2.038143,6.603014,7.499809,7.499809,0.001526,0.001526,7.499809
2.38,9.999237,2.5,2.038143,6.607343,7.499809,7.499809,0.001526,0.001526,7.499809
2.39,9.999237,2.375,2.061173,6.760875,7.634089,7.634089,0.001526,0.001526,7.634089
2.4,9.999237,2.375,2.222382,6.749817,7.634089,7.634089,0.001526,0.001526,7.634089
2.41,9.999237,2.25,2.199352,6.848486,7.768368,7.768368,0.001526,0.001526,7.768368
2.42,9.999237,2.25,2.176322,6.844,7.768368,7.768368,0.001526,0.001526,7.768368
2.43,9.999237,2.25,2.383591,6.848486,7.768368,7.768368,0.001526,0.001526,7.768368
2.44,9.999237,2.25,2.291472,6.846243,7.768368,7.768368,0.001526,0.001526,7.768368
2.45,9.999237,2.125,2.222382,6.990882,7.899596,7.899596,0.001526,0.001526,7.899596
2.46,9.999237,2.125,2.199352,6.988592,7.899596,7.899596,0.001526,0.001526,7.899596
2.47,9.999237,2.125,2.268442,6.986444,7.899596,7.899596,0.001526,0.001526,7.899596
2.48,9.999237,2.125,2.268442,6.993173,7.899596,7.899596,0.001526,0.001526,7.899596
2.49,9.999237,2.125,2.291472,6.986444,7.899596,7.899596,0.001526,0.001526,7.899596
2.5,9.999237,2,2.199352,7.091952,8.000305,8.000305,0.001526,0.001526,8.000305
2.51,9.999237,2,2.337531,7.087308,8.000305,8.000305,0.001526,0.001526,8.000305
2.52,9.999237,2,2.61389,7.087308,8.000305,8.000305,0.001526,0.001526,8.000305
2.53,9.999237,1.875,2.383591,7.183734,8.134585,8.134585,0.001526,0.001526,8.134585
2.54,9.999237,2,2.360561,7.087308,8.000305,8.000305,0.001526,0.001526,8.000305
2.55,9.999237,2,2.337531,7.078165,8.000305,8.000305,0.001526,0.001526,8.000305
2.56,9.999237,1.875,2.337531,7.18138,8.134585,8.134585,0.001526,0.001526,8.134585
2.57,9.999237,1.875,2.314502,7.183734,8.134585,8.134585,0.001526,0.001526,8.134585
2.58,9.999237,1.75,2.360561,7.325972,8.268864,8.268864,0.001526,0.001526,8.268864
2.59,9.999237,1.75,2.383591,7.32132,8.268864,8.268864,0.001526,0.001526,8.268864
2.6,9.999237,1.75,2.406621,7.325972,8.268864,8.268864,0.001526,0.001526,8.268864
2.61,9.999237,1.75,2.452681,7.330774,8.268864,8.268864,0.001526,0.001526,8.268864
2.62,9.999237,1.875,2.59086,7.186088,8.134585,8.134585,0.001526,0.001526,8.134585
2.63,9.999237,1.75,2.452681,7.328373,8.268864,8.268864,0.001526,0.001526,8.268864
2.64,9.999237,1.875,2.429651,7.186088,8.134585,8.134585,0.001526,0.001526,8.134585
2.64,9.999237,1.875,2.429651,7.186088,8.134585,8.134585,0.001526,0.001526,8.134585
2.65,9.999237,1.75,2.360561,7.323721,8.268864,8.268864,0.001526,0.001526,8.268864
2.66,9.999237,1.75,2.406621,7.328373,8.268864,8.268864,0.001526,0.001526,8.268864
2.67,9.999237,1.75,2.475711,7.330774,8.268864,8.268864,0.001526,0.001526,8.268864
2.68,9.999237,1.75,2.452681,7.323721,8.268864,8.268864,0.001526,0.001526,8.268864
2.69,9.999237,1.75,2.429651,7.328373,8.268864,8.268864,0.001526,0.001526,8.268864
2.7,9.999237,1.75,2.429651,7.323721,8.268864,8.268864,0.001526,0.001526,8.268864
2.71,9.999237,1.75,2.452681,7.330774,8.268864,8.268864,0.001526,0.001526,8.268864
2.72,9.999237,1.625,2.52177,7.427232,8.400092,8.400092,0.001526,0.001526,8.400092
2.73,9.999237,1.75,2.59086,7.328373,8.268864,8.268864,0.001526,0.001526,8.268864
2.74,9.999237,1.75,2.475711,7.333175,8.268864,8.268864,0.001526,0.001526,8.268864
2.75,9.999237,1.625,2.452681,7.422366,8.400092,8.400092,0.001526,0.001526,8.400092
2.76,9.999237,1.5,2.52177,7.518761,8.500801,8.500801,0.001526,0.001526,8.500801
2.77,9.999237,1.5,2.5448,7.51645,8.500801,8.500801,0.001526,0.001526,8.500801
2.78,9.999237,1.5,2.65995,7.518761,8.500801,8.500801,0.001526,0.001526,8.500801
2.79,9.999237,1.5,2.52177,7.523689,8.500801,8.500801,0.001526,0.001526,8.500801
2.8,9.999237,1.5,2.59086,7.51645,8.500801,8.500801,0.001526,0.001526,8.500801
2.8,9.999237,1.5,2.59086,7.51645,8.500801,8.500801,0.001526,0.001526,8.500801
2.81,9.999237,1.5,2.5448,7.523689,8.500801,8.500801,0.001526,0.001526,8.500801
2.82,9.999237,1.5,2.61389,7.521225,8.500801,8.500801,0.001526,0.001526,8.500801
2.83,9.999237,1.375,2.59086,7.615155,8.63508,8.63508,0.001526,0.001526,8.63508
2.84,9.999237,1.25,2.777978,7.754819,8.766308,8.766308,0.001526,0.001526,8.766308
2.85,9.999237,1.25,2.754948,7.759747,8.766308,8.766308,0.001526,0.001526,8.766308
2.86,9.999237,1.25,2.801008,7.759747,8.766308,8.766308,0.001526,0.001526,8.766308
2.87,9.999237,1.125,2.731918,7.856141,8.900587,8.900587,0.001526,0.001526,8.900587
2.88,9.999237,1.125,2.777978,7.856141,8.900587,8.900587,0.001526,0.001526,8.900587
2.89,9.999237,1.125,2.777978,7.861291,8.900587,8.900587,0.001526,0.001526,8.900587
2.9,9.999237,1.125,2.798129,7.858716,8.900587,8.900587,0.001526,0.001526,8.900587
2.91,9.999237,1,2.798129,7.952535,9.001297,9.001297,0.001526,0.001526,9.001297
2.92,9.999237,1.125,2.936308,7.858716,8.900587,8.900587,0.001526,0.001526,8.900587
2.93,9.999237,1,2.754948,7.965568,9.001297,9.001297,0.001526,0.001526,9.001297
2.94,9.999237,1,2.801008,7.947485,9.001297,9.001297,0.001526,0.001526,9.001297
2.95,9.999237,1,2.821159,7.957748,9.001297,9.001297,0.001526,0.001526,9.001297
2.96,9.999237,0.875,2.824037,8.099781,9.135576,9.135576,0.001526,0.001526,9.135576
2.96,9.999237,0.875,2.824037,8.099781,9.135576,9.135576,0.001526,0.001526,9.135576
2.97,9.999237,1,3.005398,7.955142,9.001297,9.001297,0.001526,0.001526,9.001297
2.98,9.999237,0.875,2.844189,8.105089,9.135576,9.135576,0.001526,0.001526,9.135576
2.99,9.999237,0.875,2.913278,8.099781,9.135576,9.135576,0.001526,0.001526,9.135576
3,9.999237,0.875,2.913278,8.094639,9.135576,9.135576,0.001526,0.001526,9.135576
3.01,9.999237,0.875,3.077366,8.107742,9.135576,9.135576,0.001526,0.001526,9.135576
3.02,9.999237,1,3.008276,7.952535,9.001297,9.001297,0.001526,0.001526,9.001297
3.03,9.999237,0.875,2.959338,8.097127,9.135576,9.135576,0.001526,0.001526,9.135576
3.04,9.999237,0.875,3.031306,8.099781,9.135576,9.135576,0.001526,0.001526,9.135576
3.05,9.999237,1,2.959338,7.950092,9.001297,9.001297,0.001526,0.001526,9.001297
3.06,9.999237,1,2.913278,7.957748,9.001297,9.001297,0.001526,0.001526,9.001297
3.07,9.999237,1,3.005398,7.952535,9.001297,9.001297,0.001526,0.001526,9.001297
3.08,9.999237,0.875,2.890248,8.091985,9.135576,9.135576,0.001526,0.001526,9.135576
3.09,9.999237,0.875,2.777978,8.091985,9.135576,9.135576,0.001526,0.001526,9.135576
3.1,9.999237,0.875,2.959338,8.099781,9.135576,9.135576,0.001526,0.001526,9.135576
3.11,9.999237,0.875,2.982368,8.094639,9.135576,9.135576,0.001526,0.001526,9.135576
3.12,9.999237,0.875,3.008276,8.08137,9.135576,9.135576,0.001526,0.001526,9.135576
3.13,9.999237,0.875,2.936308,8.102435,9.135576,9.135576,0.001526,0.001526,9.135576
3.14,9.999237,0.875,2.962217,8.094639,9.135576,9.135576,0.001526,0.001526,9.135576
3.15,9.999237,0.875,3.031306,8.08137,9.135576,9.135576,0.001526,0.001526,9.135576
3.16,9.999237,0.875,2.890248,8.099781,9.135576,9.135576,0.001526,0.001526,9.135576
3.17,9.999237,0.875,2.959338,8.099781,9.135576,9.135576,0.001526,0.001526,9.135576
3.18,9.999237,0.875,2.936308,8.097127,9.135576,9.135576,0.001526,0.001526,9.135576
3.19,9.999237,0.875,2.936308,8.097127,9.135576,9.135576,0.001526,0.001526,9.135576
3.2,9.999237,0.75,2.982368,8.193521,9.266804,9.266804,0.001526,0.001526,9.266804
3.21,9.999237,0.875,3.100396,8.099781,9.135576,9.135576,0.001526,0.001526,9.135576
3.22,9.999237,0.875,3.054336,8.097127,9.135576,9.135576,0.001526,0.001526,9.135576
3.23,9.999237,0.875,3.077366,8.099781,9.135576,9.135576,0.001526,0.001526,9.135576
3.24,9.999237,0.875,3.031306,8.099781,9.135576,9.135576,0.001526,0.001526,9.135576
3.25,9.999237,0.875,3.005398,8.097127,9.135576,9.135576,0.001526,0.001526,9.135576
3.26,9.999237,0.875,2.959338,8.094639,9.135576,9.135576,0.001526,0.001526,9.135576
3.27,9.999237,0.875,2.867218,8.097127,9.135576,9.135576,0.001526,0.001526,9.135576
3.28,9.999237,0.875,2.936308,8.094639,9.135576,9.135576,0.001526,0.001526,9.135576
3.28,9.999237,0.875,2.936308,8.094639,9.135576,9.135576,0.001526,0.001526,9.135576
3.29,9.999237,0.875,2.890248,8.105089,9.135576,9.135576,0.001526,0.001526,9.135576
3.3,9.999237,0.875,2.959338,8.102435,9.135576,9.135576,0.001526,0.001526,9.135576
