TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta Err.,PID Output
18.93,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
18.94,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
18.95,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
18.96,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
18.97,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
18.98,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
18.99,0.001526,0,0,-0.086362,0,0.001526,0.001526,0.001526,0.001526,0.001526
19,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.01,0.001526,0,0,0.005757,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.02,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.03,0.001526,0,0,0.025909,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.04,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.05,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.06,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.07,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.08,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.09,0.001526,0,0,0.005757,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.1,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.11,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.12,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.13,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.14,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.15,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.16,0.001526,0,0,-0.086362,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.17,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.18,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.19,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.2,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.21,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.22,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.23,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.24,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.24,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.25,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.26,0.001526,0,0,0.005757,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.27,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.28,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.29,0.001526,0,0,-0.109392,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.3,0.001526,0,0,0.028787,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.31,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.32,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.33,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.34,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.35,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.36,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.37,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.38,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.39,0.001526,0,0,-0.063332,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.4,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.4,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.41,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.42,0.001526,0,0,0.025909,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.43,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.44,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.45,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.46,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.47,0.001526,0,0,0.048938,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.48,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.49,0.001526,0,0,0.028787,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.5,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.51,0.001526,0,0,0.028787,0,0.001526,0.001526,0.001526,0.001526,0.001526
19.52,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
