TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta Err.,PID Output
68.27,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.28,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.29,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.3,0.001526,0,0,0.074847,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.31,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.32,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.32,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.33,0.001526,0,0,0.028787,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.34,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.35,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.36,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.37,0.001526,0,0,0.025909,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.38,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.39,0.001526,0,0,-0.063332,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.4,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.41,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.42,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.43,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.44,0.001526,0,0,0.025909,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.45,0.001526,0,0,0.048938,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.46,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.47,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.48,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.48,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.49,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.5,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.51,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.52,0.001526,0,0,0.051817,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.53,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.54,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.55,0.001526,0,0,-0.063332,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.56,0.001526,0,0,0.051817,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.57,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.58,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.59,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.6,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.61,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.62,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.63,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.64,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.65,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.66,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.67,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.68,0.001526,0,0,0.048938,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.69,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.7,0.001526,0,0,0.028787,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.71,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.72,0.001526,0,0,0.025909,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.73,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.74,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.75,0.001526,0,0,0.002879,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.76,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.77,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.78,0.001526,0,0,-0.017272,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.79,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.8,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
68.8,0.001526,0,0,-0.040302,0,0.001526,0.001526,0.001526,0.001526,0.001526
