TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta PV,PID Output,Unnamed: 11,Unnamed: 12,9.9,-1,2.5,-9.9,TimeShift
5.0,-9.996185,-9.96,0.0,-1.255128,-2.699927,-0.038148,-0.166323,-2.848859,0.001526,-3.016709,,,,,,,0.0
5.01,9.999237,-9.96,0.0,-1.232098,76.274673,19.957275,83.816281,2.131685,0.001526,85.946441,,,,,,,0.009999999999999787
5.02,9.999237,-8.58,2.5,94.327456,66.399923,18.577859,78.020905,11.766232,-12.413214,77.370871,,,,,,,0.019999999999999574
5.03,9.999237,-5.14,7.125,91.077366,46.435171,15.138476,63.576715,20.192264,-30.952926,52.813001,,,,,,,0.03000000000000025
5.03,9.999237,-5.14,7.125,91.077366,46.435171,15.138476,63.576715,20.192264,-30.952926,52.813001,,,,,,,0.03000000000000025
5.04,9.999237,-1.74,9.375,69.843829,40.897999,11.738766,49.297322,26.912337,-30.595865,45.610742,,,,,,,0.040000000000000036
5.05,9.999237,3.38,14.25,47.101835,11.675187,6.617838,27.791257,31.499199,-46.086824,13.20058,,,,,,,0.04999999999999982
5.06,9.999237,8.32,14.375,0.126664,-3.422,1.676967,7.038987,33.574426,-44.466316,-3.855955,,,,,,,0.05999999999999961
5.07,9.999237,12.96,13.875,-11.379633,-18.616308,-2.961776,-12.443732,33.250935,-41.747158,-20.943008,,,,,,,0.07000000000000028
5.08,9.999237,16.72,11.375,-38.779417,-27.695782,-6.721599,-28.23682,30.830854,-33.836881,-31.245899,,,,,,,0.08000000000000007
5.09,9.999237,19.22,7.75,-55.058654,-30.479444,-9.221027,-38.731975,26.842145,-22.493324,-34.386206,,,,,,,0.08999999999999986
5.1,9.999237,21.1,5.75,-57.22634,-37.015803,-11.100938,-46.630045,21.760891,-16.917678,-41.789883,,,,,,,0.09999999999999964
5.11,9.999237,21.86,0.875,-63.913638,-35.993152,-11.860838,-49.819181,16.020447,-6.837568,-40.639353,,,,,,,0.11000000000000032
5.12,9.999237,20.9,-4.0,-58.127384,-23.817213,-10.902571,-45.796902,10.328832,8.625925,-26.845197,,,,,,,0.1200000000000001
5.13,9.999237,19.26,-5.875,-26.118748,-16.746349,-9.2607,-38.899825,5.287251,14.778363,-18.837263,,,,,,,0.1299999999999999
5.14,9.999237,17.36,-6.875,-9.997841,-11.270979,-7.362478,-30.928511,1.130694,17.085527,-12.715343,,,,,,,0.13999999999999968
5.15,9.999237,15.3,-7.0,-2.919036,-5.158789,-5.30251,-22.276646,-2.037079,18.541238,-5.77554,,,,,,,0.15000000000000036
5.16,9.999237,13.26,-6.5,-0.84059,0.433499,-3.260853,-13.701076,-4.179446,18.37644,0.492866,,,,,,,0.16000000000000014
