TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta PV,PID Output,Unnamed: 11,TimeStamp.1,Position.1,Reference.1,TimeShift
5.0,-9.996185,-8.98,0.0,-3.90932,-9.392483,-1.017777,-7.542535,-3.01976,0.001526,-10.563821,,5.0,-8.98,-9.996185,0.0
5.01,9.999237,-8.98,0.0,-3.978409,86.198268,18.977646,100.0,-2.738994,0.001526,97.25948,,5.01,-8.98,9.999237,0.009999999999999787
5.02,9.999237,-8.98,0.0,89.589061,85.965879,18.977646,100.0,-2.143893,0.001526,97.854582,,5.02,-8.98,9.999237,0.019999999999999574
5.03,9.999237,-8.8,2.777778,81.54588,82.479485,18.797589,100.0,-1.554894,-4.536507,93.905547,,5.03,-8.8,9.999237,0.03000000000000025
5.04,9.999237,-6.84,15.625,94.327456,43.603804,16.838331,100.0,-0.999466,-49.370565,49.626917,,5.04,-6.84,9.999237,0.040000000000000036
5.05,9.999237,-4.98,13.541667,59.88629,46.364178,14.97673,100.0,-0.502022,-46.910811,52.584115,,5.05,-4.98,9.999237,0.04999999999999982
5.05,9.999237,-4.98,13.541667,59.88629,46.364178,14.97673,100.0,-0.502022,-46.910811,52.584115,,5.05,-4.98,9.999237,0.04999999999999982
5.06,9.999237,-2.58,18.055556,54.621087,28.681399,12.578012,93.0663,-0.071717,-60.445563,32.545968,,5.06,-2.58,9.999237,0.05999999999999961
5.07,9.999237,0.1,18.055556,13.524289,5.294848,9.898528,73.238727,0.27924,-67.522698,5.992218,,5.07,0.1,9.999237,0.07000000000000028
5.08,9.999237,2.76,18.055556,-3.84023,-11.511812,7.237354,53.545434,0.547799,-67.058824,-12.968643,,5.08,2.76,9.999237,0.08000000000000007
5.09,9.999237,5.3,17.708333,-34.075567,-25.287453,4.698253,34.758526,0.733959,-63.982605,-28.493172,,5.09,5.3,9.999237,0.08999999999999986
5.1,9.999237,7.7,16.666667,-56.120907,-37.932652,2.296483,16.984817,0.843824,-60.521859,-42.696269,,5.1,7.7,9.999237,0.09999999999999964
5.11,9.999237,9.8,12.847222,-79.689097,-44.857791,0.196841,1.448081,0.883497,-52.910658,-50.582132,,5.11,9.8,9.999237,0.11000000000000032
5.12,9.999237,10.5,1.388889,-90.087082,-18.111529,-0.502022,-3.724727,0.877394,-17.610437,-20.460822,,5.12,10.5,9.999237,0.1200000000000001
5.13,9.999237,10.46,0.347222,-23.763944,-1.397289,-0.462348,-3.431754,0.862135,1.002518,-1.570153,,5.13,10.46,9.999237,0.1299999999999999
5.14,9.999237,10.4,-0.694444,-0.264843,-0.530864,-0.401312,-2.980087,0.849928,1.539635,-0.593576,,5.14,10.4,9.999237,0.13999999999999968
5.15,9.999237,10.28,-1.388889,-0.149694,1.494602,-0.282292,-2.098116,0.83772,3.00145,1.738003,,5.15,10.28,9.999237,0.15000000000000036
5.16,9.999237,10.08,-1.388889,0.333933,4.672158,-0.080873,-0.608835,0.831617,5.076677,5.296407,,5.16,10.08,9.999237,0.16000000000000014
5.17,9.999237,9.92,-0.694444,1.304066,4.774649,0.077821,0.56611,0.831617,3.99939,5.394064,,5.17,9.92,9.999237,0.16999999999999993
5.18,9.999237,9.74,-1.041667,1.255128,6.414427,0.257877,1.899748,0.83772,4.539559,7.273976,,5.18,9.74,9.999237,0.17999999999999972
5.19,9.999237,9.6,-1.041667,1.876934,6.462656,0.39826,2.937362,0.846876,3.538567,7.319753,,5.19,9.6,9.999237,0.1900000000000004
5.2,9.999237,9.58,0.0,2.041022,3.864542,0.416571,3.071641,0.862135,0.462348,4.393072,,5.2,9.58,9.999237,0.20000000000000018
5.21,9.999237,9.58,0.0,1.350126,3.472472,0.416571,3.071641,0.874342,0.001526,3.944457,,5.21,9.58,9.999237,0.20999999999999996
5.21,9.999237,9.58,0.0,1.350126,3.472472,0.416571,3.071641,0.874342,0.001526,3.944457,,5.21,9.58,9.999237,0.20999999999999996
5.22,9.999237,9.56,-0.347222,1.416337,4.064871,0.437934,3.230335,0.886549,0.538643,4.652476,,5.22,9.56,9.999237,0.21999999999999975
5.23,9.999237,9.54,-0.347222,1.830874,4.242742,0.459297,3.389029,0.901808,0.538643,4.826429,,5.23,9.54,9.999237,0.23000000000000043
5.24,9.999237,9.52,0.0,1.902843,4.339168,0.477607,3.523308,0.917067,0.462348,4.899672,,5.24,9.52,9.999237,0.2400000000000002
5.25,9.999237,9.48,-0.347222,2.156171,5.060704,0.517281,3.819333,0.932326,1.002518,5.751125,,5.25,9.48,9.999237,0.25
5.26,9.999237,9.44,-0.347222,2.29435,5.355148,0.556954,4.112306,0.947585,1.002518,6.059358,,5.26,9.44,9.999237,0.2599999999999998
5.27,9.999237,9.42,-0.347222,2.43253,5.108902,0.578317,4.271,0.965896,0.538643,5.772488,,5.27,9.42,9.999237,0.2699999999999996
5.28,9.999237,9.42,0.0,2.271321,4.622475,0.578317,4.271,0.984207,0.001526,5.253681,,5.28,9.42,9.999237,0.28000000000000025
5.29,9.999237,9.4,0.0,2.133141,5.16555,0.596628,4.40528,1.002518,0.462348,5.867094,,5.29,9.4,9.999237,0.29000000000000004
5.3,9.999237,9.4,0.0,2.202231,4.777777,0.596628,4.40528,1.020829,0.001526,5.424582,,5.3,9.4,9.999237,0.2999999999999998
5.31,9.999237,9.42,0.0,1.946024,4.290955,0.578317,4.271,1.039139,-0.459297,4.847791,,5.31,9.42,9.999237,0.3099999999999996
5.32,9.999237,9.4,-0.347222,1.764664,5.21212,0.596628,4.40528,1.05745,0.462348,5.922026,,5.32,9.4,9.999237,0.3200000000000003
5.33,9.999237,9.4,0.0,2.133141,4.821298,0.596628,4.40528,1.075761,0.001526,5.479515,,5.33,9.4,9.999237,0.33000000000000007
5.34,9.999237,9.42,0.0,2.087082,4.34059,0.578317,4.271,1.094072,-0.459297,4.902724,,5.34,9.42,9.999237,0.33999999999999986
5.35,9.999237,9.4,-0.347222,1.994962,5.256937,0.596628,4.40528,1.112383,0.462348,5.976959,,5.35,9.4,9.999237,0.34999999999999964
5.36,9.999237,9.4,0.0,2.34041,4.871107,0.596628,4.40528,1.130694,0.001526,5.534447,,5.36,9.4,9.999237,0.3600000000000003
5.37,9.999237,9.4,0.0,2.156171,4.916113,0.596628,4.40528,1.149004,0.001526,5.552758,,5.37,9.4,9.999237,0.3700000000000001
5.38,9.999237,9.4,0.0,2.202231,4.917724,0.596628,4.40528,1.167315,0.001526,5.571069,,5.38,9.4,9.999237,0.3799999999999999
5.39,9.999237,9.4,0.0,2.110112,4.916113,0.596628,4.40528,1.185626,0.001526,5.58938,,5.39,9.4,9.999237,0.3899999999999997
5.4,9.999237,9.4,0.0,2.179201,4.974072,0.596628,4.40528,1.203937,0.001526,5.607691,,5.4,9.4,9.999237,0.40000000000000036
5.41,9.999237,9.4,0.0,2.202231,4.965937,0.596628,4.40528,1.225299,0.001526,5.629053,,5.41,9.4,9.999237,0.41000000000000014
5.42,9.999237,9.4,0.0,2.202231,4.96431,0.596628,4.40528,1.24361,0.001526,5.647364,,5.42,9.4,9.999237,0.41999999999999993
5.43,9.999237,9.4,0.0,2.202231,5.01415,0.596628,4.40528,1.261921,0.001526,5.665675,,5.43,9.4,9.999237,0.4299999999999997
5.44,9.999237,9.4,0.0,2.29435,5.012507,0.596628,4.40528,1.280232,0.001526,5.683986,,5.44,9.4,9.999237,0.4400000000000004
5.45,9.999237,9.4,0.0,2.248291,5.015793,0.596628,4.40528,1.298543,0.001526,5.702296,,5.45,9.4,9.999237,0.4500000000000002
5.46,9.999237,9.4,0.0,2.179201,5.064022,0.596628,4.40528,1.316854,0.001526,5.720607,,5.46,9.4,9.999237,0.45999999999999996
5.47,9.999237,9.4,0.0,2.29435,5.068998,0.596628,4.40528,1.335164,0.001526,5.738918,,5.47,9.4,9.999237,0.46999999999999975
5.48,9.999237,9.4,0.0,2.29435,5.06568,0.596628,4.40528,1.353475,0.001526,5.757229,,5.48,9.4,9.999237,0.4800000000000004
5.49,9.999237,9.4,0.0,2.156171,5.11225,0.596628,4.40528,1.371786,0.001526,5.77554,,5.49,9.4,9.999237,0.4900000000000002
5.5,9.999237,9.4,0.0,2.202231,5.11225,0.596628,4.40528,1.390097,0.001526,5.793851,,5.5,9.4,9.999237,0.5
