TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta PV,PID Output,Unnamed: 11,Unnamed: 12,TimeStamp.1,Position.1,Unnamed: 15,TimeStamp.2,Reference.1,Position.2,TimeShift
5.0,-9.996185,-10.08,0.0,-1.95466,-4.336414,0.080873,0.383001,-5.250629,0.001526,-4.869154,,,,,,,,,0.0
5.0,-9.996185,-10.08,0.0,-1.95466,-4.336414,0.080873,0.383001,-5.250629,0.001526,-4.869154,,,,,,,,,0.0
5.01,9.999237,-10.08,0.0,-1.9086,85.206676,20.076295,96.359197,-0.2121,0.001526,96.145571,,,,,,,,,0.009999999999999787
5.02,9.999237,-10.08,0.0,82.392227,87.934364,20.076295,96.359197,9.825284,0.001526,100.0,,,,,,,,,0.019999999999999574
5.03,9.999237,-9.92,2.777778,86.019431,87.876232,19.917601,95.599298,19.822995,-1.997406,100.0,,,,,,,,,0.03000000000000025
5.04,9.999237,-7.96,15.972222,84.110831,79.836374,17.958343,86.193637,29.292744,-24.68452,90.79881,,,,,,,,,0.040000000000000036
5.05,9.999237,-6.12,13.541667,94.327456,80.914839,16.118105,77.361715,37.81033,-23.186084,91.98291,,,,,,,,,0.04999999999999982
5.06,9.999237,-3.42,20.833333,94.327456,66.450635,13.417258,64.39765,45.192645,-34.029145,75.558099,,,,,,,,,0.05999999999999961
5.07,9.999237,-0.36,21.527778,85.13566,54.629588,10.356298,49.703212,51.13756,-38.567178,62.270542,,,,,,,,,0.07000000000000028
5.08,9.999237,3.28,26.388889,59.09176,36.835105,6.718547,32.243839,55.403983,-45.833524,41.811246,,,,,,,,,0.08000000000000007
5.09,9.999237,7.18,27.083333,17.396186,19.590939,2.818341,13.521019,57.787442,-49.14168,22.163729,,,,,,,,,0.08999999999999986
5.1,9.999237,10.98,26.041667,-0.017272,4.961158,-0.981155,-4.716564,58.245212,-47.872129,5.653468,,,,,,,,,0.09999999999999964
5.11,9.999237,14.66,25.0,-12.542641,-10.613806,-4.661631,-22.380407,56.835279,-46.373693,-11.921874,,,,,,,,,0.11000000000000032
5.12,9.999237,18.2,24.305556,-40.912558,-26.942226,-8.201724,-39.372854,53.618677,-44.603647,-30.360876,,,,,,,,,0.1200000000000001
5.13,9.999237,21.54,22.916667,-70.065491,-43.259149,-11.54345,-55.413138,48.680858,-42.104219,-48.839551,,,,,,,,,0.1299999999999999
