TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta Err.,PID Output,TimeShift
10.0,-2.998398,-2.72,0.0,-0.938467,-2.024282,-0.27924,-2.244602,0.001526,0.001526,-2.244602,0.0
10.01,3.00145,-2.72,0.0,-0.869377,40.521377,5.720607,45.754177,0.001526,0.001526,45.754177,0.009999999999999787
10.01,3.00145,-2.72,0.0,-0.869377,40.521377,5.720607,45.754177,0.001526,0.001526,45.754177,0.009999999999999787
10.02,3.00145,-2.72,0.0,67.771141,40.29719,5.720607,45.754177,0.001526,0.001526,45.754177,0.019999999999999574
10.03,3.00145,-2.7,0.0,59.330694,40.153443,5.699245,45.583276,0.001526,0.001526,45.583276,0.02999999999999936
10.04,3.00145,-1.84,9.722222,60.646276,34.149091,4.838636,38.698405,0.001526,0.001526,38.698405,0.03999999999999915
10.05,3.00145,-0.4,8.680556,41.614969,24.020595,3.401236,27.199207,0.001526,0.001526,27.199207,0.05000000000000071
10.06,3.00145,0.98,9.722222,16.472112,14.252631,2.018769,16.139467,0.001526,0.001526,16.139467,0.0600000000000005
10.07,3.00145,2.48,11.111111,2.426772,3.66186,0.520333,4.15198,0.001526,0.001526,4.15198,0.07000000000000028
10.08,3.00145,3.92,10.069444,-1.698453,-6.554817,-0.920119,-7.371633,0.001526,0.001526,-7.371633,0.08000000000000007
10.09,3.00145,5.22,8.680556,-10.674343,-15.803819,-2.220188,-17.772183,0.001526,0.001526,-17.772183,0.08999999999999986
10.1,3.00145,6.46,8.333333,-26.703131,-24.580564,-3.45922,-27.684443,0.001526,0.001526,-27.684443,0.09999999999999964
10.11,3.00145,7.58,7.986111,-40.935588,-32.480451,-4.579232,-36.644541,0.001526,0.001526,-36.644541,0.10999999999999943
10.12,3.00145,8.38,4.513889,-52.974451,-38.097885,-5.378805,-43.041123,0.001526,0.001526,-43.041123,0.11999999999999922
10.13,3.00145,8.2,-3.472222,-63.101835,-36.75115,-5.198749,-41.600671,0.001526,0.001526,-41.600671,0.13000000000000078
10.14,3.00145,7.52,-4.861111,-59.707809,-32.036858,-4.521248,-36.180667,0.001526,0.001526,-36.180667,0.14000000000000057
10.15,3.00145,6.7,-5.902778,-39.896366,-26.233566,-3.700313,-29.613184,0.001526,0.001526,-29.613184,0.15000000000000036
10.16,3.00145,5.54,-8.680556,-25.042101,-18.038771,-2.540627,-20.335698,0.001526,0.001526,-20.335698,0.16000000000000014
10.17,3.00145,4.14,-9.722222,-8.434689,-8.140152,-1.139849,-9.129473,0.001526,0.001526,-9.129473,0.16999999999999993
10.17,3.00145,4.14,-9.722222,-8.434689,-8.140152,-1.139849,-9.129473,0.001526,0.001526,-9.129473,0.16999999999999993
10.18,3.00145,2.72,-10.069444,-1.076646,1.927295,0.27924,2.223239,0.001526,0.001526,2.223239,0.17999999999999972
10.19,3.00145,1.32,-9.722222,2.541922,11.912508,1.680018,13.429465,0.001526,0.001526,13.429465,0.1899999999999995
