TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta PV,PID Output,gain
200.01,-49.996185,-48.74,-2.777778,-9.698453,-14.227489,-1.258869,-20.164797,0.001526,4.182498,-15.983825,16.0
200.02,-49.596399,-49.14,-2.777778,-9.540122,-3.034494,-0.459297,-7.371633,0.001526,3.99939,-3.37377,16.0
200.03,-49.196612,-49.54,-2.777778,-0.59014,8.340846,0.340276,5.42153,0.001526,3.99939,9.419394,15.9
200.04,-48.796826,-49.84,-1.736111,5.768982,17.421994,1.042191,16.652171,0.001526,3.022812,19.673457,16.0
200.05,-48.39704,-50.04,-1.041667,20.735516,24.942105,1.640345,26.222629,0.001526,1.985199,28.206302,16.0
200.06,-47.997253,-49.98,1.041667,34.43253,27.409928,1.979095,31.642634,0.001526,-0.608835,31.032273,16.0
200.07,-47.597467,-49.7,2.777778,37.984887,27.283579,2.101167,33.595789,0.001526,-2.775616,30.818647,16.0
200.08,-47.197681,-49.18,4.166667,33.396186,23.37057,1.979095,31.642634,0.001526,-5.21706,26.424048,16.0
200.09,-46.797894,-48.4,5.902778,23.478949,15.755637,1.600671,25.587854,0.001526,-7.780575,17.805753,16.0
200.1,-46.398108,-47.5,6.25,6.992443,7.569438,1.100175,17.579919,0.001526,-9.001297,8.577096,16.0
200.11,-45.99527,-46.58,6.25,1.344368,0.048229,0.581369,9.279011,0.001526,-9.214923,0.062562,16.0
200.12,-45.595483,-45.74,5.902778,-1.882692,-5.494479,0.141909,2.247654,0.001526,-8.390936,-6.144808,15.8
200.13,-45.195697,-44.98,5.208333,-5.040662,-9.874148,-0.218204,-3.514153,0.001526,-7.597467,-11.113146,16.1
200.14,-44.795911,-44.3,4.513889,-11.451601,-13.149476,-0.49897,-8.006409,0.001526,-6.803998,-14.811933,16.0
200.15,-44.396124,-43.76,3.472222,-16.109392,-13.897315,-0.639353,-10.252537,0.001526,-5.400168,-15.654231,16.0
200.16,-43.996338,-43.38,2.430556,-15.905002,-12.174154,-0.61799,-9.910735,0.001526,-3.782712,-13.694972,16.0
200.17,-43.596551,-43.2,1.041667,-10.783735,-7.277775,-0.39826,-6.395056,0.001526,-1.799039,-8.195621,16.1
200.18,-43.196765,-43.12,0.347222,-3.060094,-1.832093,-0.077821,-1.268025,0.001526,-0.791943,-2.061494,16.3
200.19,-42.796979,-43.1,0.0,-0.843469,4.04989,0.300603,4.786755,0.001526,-0.2121,4.573129,15.9
200.2,-42.397192,-43.1,0.0,1.712846,9.883661,0.700389,11.183337,0.001526,0.001526,11.183337,16.0
200.21,-41.997406,-43.1,0.0,4.755668,15.577895,1.100175,17.579919,0.001526,0.001526,17.579919,16.0
200.22,-41.59762,-43.08,0.347222,15.686218,20.787489,1.481651,23.683528,0.001526,-0.181582,23.50042,16.0
200.23,-41.197833,-42.98,1.041667,25.922994,24.260801,1.780728,28.468757,0.001526,-1.00557,27.461662,16.0
200.24,-40.798047,-42.74,2.083333,31.458798,25.23643,1.939422,31.007858,0.001526,-2.4094,28.596933,16.0
200.25,-40.395209,-42.3,3.472222,31.988485,23.008522,1.9028,30.421912,0.001526,-4.393072,26.027314,16.0
200.26,-39.995422,-41.68,4.513889,24.771501,18.351466,1.68307,26.906233,0.001526,-6.193637,20.71107,16.0
200.26,-39.995422,-41.68,4.513889,24.771501,18.351466,1.68307,26.906233,0.001526,-6.193637,20.71107,16.0
200.27,-39.595636,-40.96,5.208333,13.77186,12.908643,1.362631,21.779202,0.001526,-7.200732,14.576944,16.0
200.28,-39.19585,-40.24,4.861111,3.995682,8.346311,1.042191,16.652171,0.001526,-7.200732,9.449912,16.0
200.29,-38.796063,-39.54,4.861111,2.150414,4.292361,0.743114,11.866941,0.001526,-6.987106,4.878309,16.0
200.3,-38.396277,-38.92,4.166667,0.581504,1.832694,0.520333,8.302434,0.001526,-6.224155,2.076753,16.0
200.31,-37.99649,-38.36,3.819444,-0.382872,0.144639,0.361639,5.763333,0.001526,-5.583276,0.178531,15.9
200.32,-37.596704,-37.86,3.125,-0.912558,-0.770918,0.260929,4.15198,0.001526,-5.003433,-0.852979,15.9
200.33,-37.196918,-37.44,2.430556,-1.260885,-0.385957,0.239567,3.810178,0.001526,-4.209964,-0.401312,15.9
